AC_NO,AC_NAME,DT_CODE,DIST_NAME,PC_NO,PC_NAME,no.,constituency,no._of_voters,turn_out,winner,winner_party,winner_votes,winner_alliance,runner_up,runner_up_party,runner_up_votes,runner_up_alliance,third,third_party,third_votes,third_alliance,fourth,fourth_party,fourth_votes,fourth_alliance,lead
125,Eravipuram,13.0,KOLLAM,18,KOLLAM,125,Eravipuram,170205,124994,M. Noushad,CPIM,65392,LDF,A. A. Azeez,RSP,36589,UDF,Akkavila Satheek,BDJS,19714,NDA,Ayathil Razak,SDPI,988,,28803
126,Chathannoor,13.0,KOLLAM,18,KOLLAM,126,Chathannoor,179869,133209,G. S. Jayalal,CPI,67606,LDF,B. B. Gopakumar,BJP,33199,NDA,Sooranad Rajasekharan,INC,30139,UDF,T. Raju,IND,658,IND,34407
127,Varkala,14.0,THIRUVANANTHAPURAM,19,ATTINGAL,127,Varkala,179023,128184,V. Joy,CPIM,53102,LDF,Varkala Kahar,INC,50716,UDF,S. R. M. Aji,BDJS,19872,NDA,Varkala R. Linees,BSP,1888,,2386
128,Attingal,14.0,THIRUVANANTHAPURAM,19,ATTINGAL,128,Attingal,198511,138152,B. Satyan,CPIM,72808,LDF,K. Chandrababu,RSP,32425,UDF,Raji Prasad,BJP,27602,NDA,M. K. Manojkumar,SDPI,1437,,40383
129,Chirayinkeezhu,14.0,THIRUVANANTHAPURAM,19,ATTINGAL,129,Chirayinkeezhu,196922,138393,V. Sasi,CPI,64692,LDF,K. S. Ajith Kumar,INC,50370,UDF,P. P. Vava,BJP,19478,NDA,Sasi Panthalam,WPI,955,,14322
130,Nedumangad,14.0,THIRUVANANTHAPURAM,19,ATTINGAL,130,Nedumangad,204156,151381,C. Divakaran,CPI,57745,LDF,Palod Ravi,INC,54124,UDF,V. V. Rajesh,BJP,35139,NDA,A. Abdul Salam,SDPI,1039,,3621
131,Vamanapuram,14.0,THIRUVANANTHAPURAM,19,ATTINGAL,131,Vamanapuram,197212,141443,D. K. Murali,CPIM,65848,LDF,T. Sarathchandraprasad,INC,56252,UDF,R. V. Nikhil,BDJS,13956,NDA,Thachonam Nizamudeen,SDPI,1774,,9596
132,Kazhakkoottam,14.0,THIRUVANANTHAPURAM,20,THIRUVANANTHAPURA,132,Kazhakkoottam,181732,133959,Kadakampally Surendran,CPIM,50079,LDF,V. Muraleedharan,BJP,42732,NDA,M. A. Vaheed,INC,38602,UDF,Kochumani,BSP,496,,7347
133,Vattiyoorkavu,14.0,THIRUVANANTHAPURAM,20,THIRUVANANTHAPURA,133,Vattiyoorkavu,195127,137159,K. Muraleedharan,INC,51322,UDF,Kummanam Rajasekharan,BJP,43700,NDA,T. N. Seema,CPIM,40441,LDF,Mekkansi K. John,BSP,399,,7622
134,Thiruvananthapuram,14.0,THIRUVANANTHAPURAM,20,THIRUVANANTHAPURA,134,Thiruvananthapuram,193042,126236,V. S Sivakumar,INC,46474,UDF,Antony Raju,KCD,35569,LDF,Sreesanth,BJP,34764,NDA,Biju Ramesh,AIADMK,5762,,10905
135,Nemom,14.0,THIRUVANANTHAPURAM,20,THIRUVANANTHAPURA,135,Nemom,192418,142914,O. Rajagopal,BJP,67813,NDA,V. Sivankutty,CPIM,59142,LDF,V. Surendran Pillai,JDU,13860,UDF,A. Noushad,AITC,406,,8671
136,Aruvikkara,14.0,THIRUVANANTHAPURAM,19,ATTINGAL,136,Aruvikkara,189484,143782,K. S. Sabarinadhan,INC,70910,UDF,A. A. Rasheed,CPIM,49596,LDF,Rajasenan,BJP,20294,NDA,M. A. Jaleel,IND,707,IND,21314
137,Parassala,14.0,THIRUVANANTHAPURAM,20,THIRUVANANTHAPURA,137,Parassala,210158,157988,C. K. Harindran,CPIM,70156,LDF,A. T. George,INC,51590,UDF,Karamana Jayan,BJP,33028,NDA,S. Binoy,BSP,745,,18566
138,Kattakkada,14.0,THIRUVANANTHAPURAM,19,ATTINGAL,138,Kattakkada,187387,143653,I. B. Satheesh,CPIM,51614,LDF,N. Shakthan,INC,50765,UDF,P. K. Krishnadas,BJP,38700,NDA,S. R. Biju,BSP,709,,849
139,Kovalam,14.0,THIRUVANANTHAPURAM,20,THIRUVANANTHAPURA,139,Kovalam,207401,153989,M. Vincent,INC,60268,UDF,Jameela Prakasam,JDS,57653,LDF,Kovalam T. N. Suresh,BDJS,30987,NDA,K. R. Anish,BSP,996,,2615
140,Neyyattinkara,14.0,THIRUVANANTHAPURAM,20,THIRUVANANTHAPURA,140,Neyyattinkara,178937,134675,K. Ansalan,CPIM,63559,LDF,R. Selvaraj,INC,54016,UDF,Punchakkari Surendran,BJP,15531,NDA,Prabhakaran,BSP,566,,9543
